"id","code","uri","name","description","vocabulary"
"identifier-issue-number","issue-number","http://id.loc.gov/vocabulary/identifiers/issue-number","Sound recording issue number",,"Standard Identifier Schemes (LC)"
"identifier-istc","istc","http://id.loc.gov/vocabulary/identifiers/istc","International Standard Text Code",,"Standard Identifier Schemes (LC)"
"identifier-iswc","iswc","http://id.loc.gov/vocabulary/identifiers/iswc","International Standard Musical Work Code",,"Standard Identifier Schemes (LC)"
"identifier-itar","itar","http://id.loc.gov/vocabulary/identifiers/itar","ITAR",,"Standard Identifier Schemes (LC)"
"identifier-kinipo","kinipo","http://id.loc.gov/vocabulary/identifiers/kinipo","КиноПоиск = KinoPoisk",,"Standard Identifier Schemes (LC)"
"identifier-lccn","lccn","http://id.loc.gov/vocabulary/identifiers/lccn","Library of Congress Control Number",,"Standard Identifier Schemes (LC)"
"identifier-lcmd","lcmd","http://id.loc.gov/vocabulary/identifiers/lcmd","Library of Congress Manuscript Division",,"Standard Identifier Schemes (LC)"
"identifier-libaus","libaus","http://id.loc.gov/vocabulary/identifiers/libaus","Libraries Australia",,"Standard Identifier Schemes (LC)"
"identifier-local","local","http://id.loc.gov/vocabulary/identifiers/local","Locally defined identifier",,"Standard Identifier Schemes (LC)"
"identifier-matrix-number","matrix-number","http://id.loc.gov/vocabulary/identifiers/matrix-number","Sound recording matrix number",,"Standard Identifier Schemes (LC)"
"identifier-moma","moma","http://id.loc.gov/vocabulary/identifiers/moma","Museum of Modern Art",,"Standard Identifier Schemes (LC)"
"identifier-munzing","munzing","http://id.loc.gov/vocabulary/identifiers/munzing","Munzinger",,"Standard Identifier Schemes (LC)"
"identifier-music-plate","music-plate","http://id.loc.gov/vocabulary/identifiers/music-plate","Publisher's music plate number",,"Standard Identifier Schemes (LC)"
"identifier-music-publisher","music-publisher","http://id.loc.gov/vocabulary/identifiers/music-publisher","Publisher-assigned music number",,"Standard Identifier Schemes (LC)"
"identifier-musicb","musicb","http://id.loc.gov/vocabulary/identifiers/musicb","MusicBrainz",,"Standard Identifier Schemes (LC)"
"identifier-natgazfid","natgazfid","http://id.loc.gov/vocabulary/identifiers/natgazfid","U.S. National Gazetteer Feature Name Identifier",,"Standard Identifier Schemes (LC)"
"identifier-nga","nga","http://id.loc.gov/vocabulary/identifiers/nga","National Gallery of Art",,"Standard Identifier Schemes (LC)"
"identifier-nipo","nipo","http://id.loc.gov/vocabulary/identifiers/nipo","Número de Identificación de las Publicaciones Oficiales",,"Standard Identifier Schemes (LC)"
"identifier-nndb","nndb","http://id.loc.gov/vocabulary/identifiers/nndb","NNDB",,"Standard Identifier Schemes (LC)"
"identifier-npg","npg","http://id.loc.gov/vocabulary/identifiers/npg","National Portrait Gallery",,"Standard Identifier Schemes (LC)"
"identifier-odnb","odnb","http://id.loc.gov/vocabulary/identifiers/odnb","Oxford Dictionary of National Biography",,"Standard Identifier Schemes (LC)"
"identifier-opensm","opensm","http://id.loc.gov/vocabulary/identifiers/opensm","OpenStreetMap",,"Standard Identifier Schemes (LC)"
"identifier-orcid","orcid","http://id.loc.gov/vocabulary/identifiers/orcid","Open Researcher and Contributor Identifier",,"Standard Identifier Schemes (LC)"
"identifier-oxforddnb","oxforddnb","http://id.loc.gov/vocabulary/identifiers/oxforddnb","Oxford Biography Index",,"Standard Identifier Schemes (LC)"
"identifier-porthu","porthu","http://id.loc.gov/vocabulary/identifiers/porthu","PORT.hu",,"Standard Identifier Schemes (LC)"
"identifier-rbmsbt","rbmsbt","http://id.loc.gov/vocabulary/identifiers/rbmsbt","RBMS Controlled Vocabularies: Binding Terms",,"Standard Identifier Schemes (LC)"
"identifier-rbmsgt","rbmsgt","http://id.loc.gov/vocabulary/identifiers/rbmsgt","RBMS Controlled Vocabularies: Genre Terms",,"Standard Identifier Schemes (LC)"
"identifier-rbmspe","rbmspe","http://id.loc.gov/vocabulary/identifiers/rbmspe","RBMS Controlled Vocabularies: Provenance Evidence",,"Standard Identifier Schemes (LC)"
"identifier-rbmsppe","rbmsppe","http://id.loc.gov/vocabulary/identifiers/rbmsppe","RBMS Controlled Vocabularies: Printing and Publishing Terms",,"Standard Identifier Schemes (LC)"
"identifier-rbmspt","rbmspt","http://id.loc.gov/vocabulary/identifiers/rbmspt","RBMS Controlled Vocabularies: Paper Terms",,"Standard Identifier Schemes (LC)"
"identifier-rbmsrd","rbmsrd","http://id.loc.gov/vocabulary/identifiers/rbmsrd","RBMS Controlled Vocabularies: Relationship Designators",,"Standard Identifier Schemes (LC)"
"identifier-rbmste","rbmste","http://id.loc.gov/vocabulary/identifiers/rbmste","RBMS Controlled Vocabularies: Type Evidence",,"Standard Identifier Schemes (LC)"
"identifier-rid","rid","http://id.loc.gov/vocabulary/identifiers/rid","ResearcherID",,"Standard Identifier Schemes (LC)"
"identifier-rkda","rkda","http://id.loc.gov/vocabulary/identifiers/rkda","RKDartists&",,"Standard Identifier Schemes (LC)"
"identifier-saam","saam","http://id.loc.gov/vocabulary/identifiers/saam","Smithsonian American Art Museum",,"Standard Identifier Schemes (LC)"
"identifier-scholaru","scholaru","http://id.loc.gov/vocabulary/identifiers/scholaru","Scholar Universe",,"Standard Identifier Schemes (LC)"
"identifier-scope","scope","http://id.loc.gov/vocabulary/identifiers/scope","Scope",,"Standard Identifier Schemes (LC)"
"identifier-scopus","scopus","http://id.loc.gov/vocabulary/identifiers/scopus","Scopus Author Identifier",,"Standard Identifier Schemes (LC)"
"identifier-sici","sici","http://id.loc.gov/vocabulary/identifiers/sici","Serial Item and Contribution Identifier",,"Standard Identifier Schemes (LC)"
"identifier-spotify","spotify","http://id.loc.gov/vocabulary/identifiers/spotify","Spotify",,"Standard Identifier Schemes (LC)"
"identifier-sprfbsb","sprfbsb","http://id.loc.gov/vocabulary/identifiers/sprfbsb","Sports Reference: Baseball",,"Standard Identifier Schemes (LC)"
"identifier-sprfbsk","sprfbsk","http://id.loc.gov/vocabulary/identifiers/sprfbsk","Sports Reference: Basketball",,"Standard Identifier Schemes (LC)"
"identifier-sprfcbb","sprfcbb","http://id.loc.gov/vocabulary/identifiers/sprfcbb","Sports Reference: College Basketball",,"Standard Identifier Schemes (LC)"
"identifier-sprfcfb","sprfcfb","http://id.loc.gov/vocabulary/identifiers/sprfcfb","Sports Reference: College Football",,"Standard Identifier Schemes (LC)"
"identifier-sprfhoc","sprfhoc","http://id.loc.gov/vocabulary/identifiers/sprfhoc","Sports Reference: Hockey",,"Standard Identifier Schemes (LC)"
"identifier-sprfoly","sprfoly","http://id.loc.gov/vocabulary/identifiers/sprfoly","Sports Reference: Olympic Sports",,"Standard Identifier Schemes (LC)"
"identifier-sprfpfb","sprfpfb","http://id.loc.gov/vocabulary/identifiers/sprfpfb","Sports Reference: Pro Football",,"Standard Identifier Schemes (LC)"
"identifier-stock-number","stock-number","http://id.loc.gov/vocabulary/identifiers/stock-number","Publisher, distributor, or vendor stock number",,"Standard Identifier Schemes (LC)"
"identifier-strn","strn","http://id.loc.gov/vocabulary/identifiers/strn","Standard Technical Report Number",,"Standard Identifier Schemes (LC)"
"identifier-svfilm","svfilm","http://id.loc.gov/vocabulary/identifiers/svfilm","Svensk Filmdatabas",,"Standard Identifier Schemes (LC)"
"identifier-tatearid","tatearid","http://id.loc.gov/vocabulary/identifiers/tatearid","Tate Artist Identifier",,"Standard Identifier Schemes (LC)"
"identifier-theatr","theatr","http://id.loc.gov/vocabulary/identifiers/theatr","Theatricalia",,"Standard Identifier Schemes (LC)"
"identifier-trove","trove","http://id.loc.gov/vocabulary/identifiers/trove","Trove",,"Standard Identifier Schemes (LC)"
"identifier-upc","upc","http://id.loc.gov/vocabulary/identifiers/upc","Universal Product Code",,"Standard Identifier Schemes (LC)"
"identifier-uri","uri","http://id.loc.gov/vocabulary/identifiers/uri","Uniform Resource Identifier",,"Standard Identifier Schemes (LC)"
"identifier-urn","urn","http://id.loc.gov/vocabulary/identifiers/urn","Uniform Resource Name",,"Standard Identifier Schemes (LC)"
"identifier-viaf","viaf","http://id.loc.gov/vocabulary/identifiers/viaf","Virtual International Authority File number",,"Standard Identifier Schemes (LC)"
"identifier-videorecording-identifier","videorecording-identifier","http://id.loc.gov/vocabulary/identifiers/videorecording-identifier","Publisher-assigned videorecording number",,"Standard Identifier Schemes (LC)"
"identifier-wikidata","wikidata","http://id.loc.gov/vocabulary/identifiers/wikidata","Wikidata",,"Standard Identifier Schemes (LC)"
"identifier-wndla","wndla","http://id.loc.gov/vocabulary/identifiers/wndla","Web NDL Authorities )",,"Standard Identifier Schemes (LC)"
